,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,hpl,year2,Good_seller
45,2015,63000,Diesel,Dealer,Manual,First Owner,27.3,1498,98.6,5,65.82109479305741,4060225,0
46,2016,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.6,7,40.336808340016034,4064256,0
47,2011,120000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,5,71.15384615384615,4044121,0
48,2011,110000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,5,65.91478696741855,4044121,0
49,2013,60000,Diesel,Individual,Manual,First Owner,21.27,1396,88.76,5,63.581661891117484,4052169,0
50,2015,147000,Diesel,Individual,Manual,Second Owner,26.59,1248,74.0,5,59.294871794871796,4060225,0
51,2017,25000,Petrol,Individual,Manual,Third Owner,18.16,1196,86.8,5,72.5752508361204,4068289,0
52,2019,30000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,69.42355889724311,4076361,0
53,2016,40000,Diesel,Individual,Manual,First Owner,22.0,1498,108.495,5,72.42656875834447,4064256,0
54,2015,135000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,5,65.82109479305741,4060225,0
55,2018,30000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5,67.13426853707415,4072324,0
56,2017,80000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,5,72.51001335113486,4068289,0
57,2019,9850,Diesel,Individual,Automatic,First Owner,24.3,1248,88.5,5,70.91346153846153,4076361,0
58,2016,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,5,59.294871794871796,4064256,0
59,2013,120000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5,59.294871794871796,4052169,0
60,2012,120000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,7,68.24471959213402,4048144,0
61,2003,70000,Diesel,Individual,Manual,First Owner,18.9,1248,74.0,5,59.294871794871796,4012009,0
62,2013,170000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,5,64.83103879849813,4052169,0
63,2016,140000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8,40.336808340016034,4064256,0
64,2015,90000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5,65.81441922563418,4060225,0
65,2017,10000,Petrol,Dealer,Manual,First Owner,23.1,998,67.04,5,67.17434869739479,4068289,0
66,2016,49000,Petrol,Dealer,Manual,First Owner,19.02,1198,67.05,5,55.96828046744574,4064256,0
67,2016,32000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5,59.42211055276381,4064256,0
68,2016,38000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5,59.42211055276381,4064256,0
69,2015,78000,Diesel,Dealer,Manual,First Owner,18.9,1248,74.0,5,59.294871794871796,4060225,0
70,2012,28000,Petrol,Dealer,Manual,First Owner,19.81,1086,68.05,5,62.661141804788215,4048144,0
71,2017,32000,Petrol,Dealer,Manual,First Owner,14.0,796,35.0,5,43.969849246231156,4068289,0
72,2010,44000,LPG,Dealer,Manual,First Owner,26.2,998,58.2,5,58.31663326653307,4040100,0
73,2015,42000,Petrol,Dealer,Manual,First Owner,16.47,1198,74.0,5,61.76961602671119,4060225,0
74,2015,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086,68.05,5,62.661141804788215,4060225,0
75,2012,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598,103.6,5,64.83103879849813,4048144,0
76,2009,55500,Petrol,Dealer,Manual,First Owner,18.2,998,67.1,5,67.23446893787575,4036081,0
77,2013,61500,Petrol,Dealer,Manual,First Owner,18.5,1197,82.85,5,69.21470342522974,4052169,0
78,2016,150000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5,59.294871794871796,4064256,0
79,2016,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197,82.0,5,68.50459482038428,4064256,0
80,2008,68000,Petrol,Dealer,Manual,Third Owner,19.7,796,46.3,5,58.16582914572864,4032064,0
81,2017,110000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,63.560171919770774,4068289,0
82,2009,77000,Petrol,Dealer,Manual,Second Owner,21.79,998,67.05,5,67.18436873747495,4036081,0
83,2010,100000,Diesel,Individual,Manual,Second Owner,18.8,1248,90.0,5,72.11538461538461,4040100,0
84,2019,10000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,68.3375104427736,4076361,0
85,2018,35000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,69.42355889724311,4072324,0
86,2014,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179,120.0,8,55.07113354749885,4056196,0
87,2020,5000,Petrol,Individual,Manual,Second Owner,19.0,1194,94.68,5,79.2964824120603,4080400,0
88,2017,37800,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5,76.24135763670648,4068289,0
89,2016,100000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5,49.11743772241993,4064256,0
90,2013,150000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5,79.84829329962074,4052169,0
91,2013,69000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,5,63.581661891117484,4052169,0
92,2009,100000,Petrol,Individual,Manual,Second Owner,14.53,1798,138.1,5,76.8075639599555,4036081,0
93,2020,13000,Petrol,Individual,Manual,First Owner,21.63,998,67.04,5,67.17434869739479,4080400,0
94,2016,60000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,70.91346153846153,4064256,0
95,2017,40000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,69.45697577276525,4068289,0
96,2010,120000,Diesel,Individual,Manual,Second Owner,18.9,1248,74.0,5,59.294871794871796,4040100,0
97,2014,70000,Diesel,Individual,Manual,Third Owner,20.45,1461,83.8,5,57.35797399041752,4056196,0
98,2016,50000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5,79.7724399494311,4064256,0
99,2012,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,5,59.21474358974359,4048144,0
100,2018,25000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5,67.06706706706707,4072324,0
101,2015,40000,Petrol,Individual,Manual,Second Owner,23.1,998,67.04,5,67.17434869739479,4060225,0
102,2008,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5,58.16582914572864,4032064,0
103,2009,80000,Petrol,Individual,Manual,Second Owner,17.92,1086,62.1,5,57.182320441988956,4036081,0
104,2015,110000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7,71.12179487179488,4060225,0
105,2019,1303,Petrol,Dealer,Manual,First Owner,17.8,1198,86.7,5,72.37061769616027,4076361,0
106,2019,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451,141.0,5,97.17436250861475,4076361,0
107,2013,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5,76.7686318131257,4052169,0
108,2015,40000,Diesel,Dealer,Manual,First Owner,26.21,1248,88.5,5,70.91346153846153,4060225,0
109,2010,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497,150.0,5,60.07208650380456,4040100,0
110,2018,11000,Petrol,Dealer,Manual,First Owner,17.0,1198,108.5,5,90.56761268781302,4072324,0
111,2011,49000,Petrol,Individual,Manual,First Owner,15.04,1598,103.6,5,64.83103879849813,4044121,0
112,2012,95000,Petrol,Individual,Manual,First Owner,16.3,1797,147.5,5,82.08124652198109,4048144,0
113,2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5,64.76846057571966,4064256,0
114,2017,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497,116.3,5,77.68871075484302,4068289,0
115,2019,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197,81.8,5,68.3375104427736,4076361,0
116,2011,11000,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5,67.18436873747495,4044121,0
117,2012,24300,Petrol,Dealer,Manual,First Owner,21.21,1197,81.8,5,68.3375104427736,4048144,0
118,2018,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497,108.5,5,72.47828991315964,4072324,0
119,2016,20000,Petrol,Individual,Manual,First Owner,17.5,1373,91.1,7,66.3510560815732,4064256,0
120,2018,9500,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5,72.5752508361204,4072324,0
121,2011,120000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5,48.60614724803431,4044121,0
122,2015,36600,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,68.3375104427736,4060225,0
123,2015,50000,Petrol,Individual,Automatic,Second Owner,20.51,998,67.0,5,67.13426853707415,4060225,0
124,2016,14000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,5,68.36257309941521,4064256,0
125,1999,40000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4,46.482412060301506,3996001,0
126,2010,120000,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,5,59.21474358974359,4040100,0
127,2015,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,68.50459482038428,4060225,0
128,2019,13000,Petrol,Individual,Manual,First Owner,19.44,999,75.0,5,75.07507507507508,4076361,0
129,2014,35000,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,5,71.67919799498746,4056196,0
130,2016,44000,Petrol,Individual,Manual,Second Owner,19.1,1197,82.0,5,68.50459482038428,4064256,0
131,2005,120000,Petrol,Individual,Manual,Second Owner,13.0,1493,100.0,5,66.97923643670462,4020025,0
132,2010,60000,Diesel,Individual,Manual,First Owner,21.43,1364,87.2,5,63.92961876832845,4040100,0
133,2000,60000,Petrol,Individual,Manual,First Owner,18.5,796,53.0,5,66.58291457286433,4000000,0
134,2016,15000,Petrol,Individual,Manual,Second Owner,18.15,1198,82.0,6,68.44741235392321,4064256,0
135,2017,90000,Diesel,Individual,Manual,First Owner,22.95,1248,74.0,5,59.294871794871796,4068289,0
136,2009,47000,Petrol,Individual,Manual,Second Owner,17.0,1497,118.0,5,78.8243152972612,4036081,0
137,2005,90000,Petrol,Individual,Manual,First Owner,17.3,993,60.0,5,60.422960725075534,4020025,0
138,2005,86000,Petrol,Individual,Manual,First Owner,15.3,1341,83.0,5,61.894108873974645,4020025,0
139,2017,37000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5,70.91346153846153,4068289,0
140,2019,14000,Petrol,Individual,Manual,First Owner,20.3,1199,84.0,5,70.05838198498748,4076361,0
141,2015,70000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7,71.12179487179488,4060225,0
142,2012,120000,Diesel,Individual,Manual,First Owner,18.9,1248,74.0,5,59.294871794871796,4048144,0
143,2015,50000,Petrol,Individual,Manual,First Owner,17.4,1497,117.3,5,78.3567134268537,4060225,0
144,2016,50000,CNG,Individual,Manual,First Owner,26.6,998,58.16,5,58.276553106212425,4064256,0
145,2017,50000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,69.45697577276525,4068289,0
146,2003,90000,Petrol,Individual,Manual,Second Owner,18.9,1248,74.0,5,59.294871794871796,4012009,0
147,2018,35000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5,67.13426853707415,4072324,0
148,2017,20000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,68.3375104427736,4068289,0
149,2018,7800,Petrol,Individual,Automatic,First Owner,22.0,1197,81.8,5,68.3375104427736,4072324,0
150,2017,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,68.3375104427736,4068289,0
151,2019,15000,Diesel,Individual,Manual,First Owner,17.6,2179,147.94,7,67.89352914180817,4076361,0
152,2013,31377,Petrol,Individual,Manual,Second Owner,18.5,1197,82.85,5,69.21470342522974,4052169,0
153,2018,50000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,59.31089743589743,4072324,0
154,2015,60000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,67.17434869739479,4060225,0
155,2012,100000,Petrol,Individual,Automatic,First Owner,14.53,1794,138.1,5,76.9788182831661,4048144,0
156,2018,5000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,5,69.42355889724311,4072324,0
157,2017,60000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7,67.89352914180817,4068289,0
158,2017,80000,Petrol,Individual,Manual,Second Owner,20.63,1198,67.0,5,55.926544240400666,4068289,0
159,2017,75000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,70.91346153846153,4068289,0
160,2020,32000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5,68.38763575605681,4080400,0
161,2015,40000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,59.42211055276381,4060225,0
162,2012,93000,Petrol,Individual,Manual,Second Owner,17.0,1197,80.0,5,66.83375104427736,4048144,0
163,2018,60000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5,74.35037720033529,4072324,0
164,2008,120000,Petrol,Individual,Manual,Second Owner,18.9,1248,74.0,5,59.294871794871796,4032064,0
165,2014,37000,Petrol,Individual,Manual,First Owner,16.95,1498,97.7,5,65.22029372496662,4056196,0
166,2018,15000,Petrol,Individual,Manual,First Owner,17.0,1497,121.36,5,81.0688042752171,4072324,0
167,2016,140000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,67.17434869739479,4064256,0
168,2013,120000,Diesel,Individual,Manual,Second Owner,17.21,1493,100.0,7,66.97923643670462,4052169,0
169,2010,110000,Diesel,Individual,Manual,Second Owner,21.1,1248,73.9,5,59.21474358974359,4040100,0
170,2017,37000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5,79.7724399494311,4068289,0
171,2016,44000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,66.70838548185232,4064256,0
172,2015,80000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7,71.12179487179488,4060225,0
173,2015,125000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7,64.24965580541533,4060225,0
174,2017,13500,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,5,61.03678929765886,4068289,0
175,2011,75000,Petrol,Individual,Manual,First Owner,17.92,1086,62.1,5,57.182320441988956,4044121,0
176,2007,120000,Petrol,Individual,Manual,Second Owner,13.2,1495,94.0,5,62.87625418060201,4028049,0
177,2012,120000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7,64.24965580541533,4048144,0
178,2013,70000,Diesel,Individual,Manual,First Owner,12.99,2494,100.57,7,40.32477947072975,4052169,0
179,2013,70000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,59.294871794871796,4052169,0
180,2019,15000,Petrol,Individual,Automatic,First Owner,19.0,1199,88.76,5,74.02835696413679,4076361,0
181,2009,53000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5,65.91478696741855,4036081,0
182,2014,120000,Diesel,Individual,Manual,Second Owner,23.4,1248,74.0,5,59.294871794871796,4056196,0
183,2016,70000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7,70.91346153846153,4064256,0
184,2008,120000,Petrol,Individual,Manual,Second Owner,14.2,1341,82.9,5,61.81953765846384,4032064,0
185,2012,100000,Petrol,Individual,Manual,Second Owner,18.5,1197,80.0,5,66.83375104427736,4048144,0
186,2005,110000,Diesel,Individual,Manual,Second Owner,18.9,1248,74.0,5,59.294871794871796,4020025,0
187,2015,100000,Petrol,Individual,Manual,First Owner,20.4,1197,83.11,5,69.43191311612364,4060225,0
188,2013,162500,Diesel,Individual,Manual,First Owner,19.4,1405,70.0,5,49.8220640569395,4052169,0
189,2017,39000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,63.560171919770774,4068289,0
190,2017,75000,Diesel,Individual,Manual,First Owner,26.8,1248,74.0,5,59.294871794871796,4068289,0
191,2019,40000,Diesel,Individual,Manual,First Owner,17.3,1497,121.0,8,80.82832331329325,4076361,0
192,2013,92500,Diesel,Individual,Manual,First Owner,22.32,1582,126.3,5,79.83565107458912,4052169,0
193,2012,158000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5,59.294871794871796,4048144,0
194,2012,120000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5,59.21474358974359,4048144,0
195,2015,50000,Diesel,Individual,Manual,Second Owner,26.0,1498,98.6,5,65.82109479305741,4060225,0
196,2012,110000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5,59.21474358974359,4048144,0
197,2017,2000,Diesel,Individual,Manual,Second Owner,25.4,1186,73.97,5,62.36930860033726,4068289,0
198,2016,70000,Diesel,Individual,Manual,First Owner,27.28,1047,69.0,5,65.9025787965616,4064256,0
199,2013,90000,Petrol,Individual,Automatic,Second Owner,17.97,1498,99.6,5,66.4886515353805,4052169,0
200,2019,2000,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,5,68.38763575605681,4076361,0
201,2015,20000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,69.45697577276525,4060225,0
202,2011,120000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,7,40.8981555733761,4044121,0
203,2017,35000,Diesel,Individual,Manual,First Owner,16.55,2498,105.0,6,42.03362690152122,4068289,0
204,2012,193000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5,59.21474358974359,4048144,0
205,2014,80000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,68.3375104427736,4056196,0
206,2019,40000,Petrol,Individual,Manual,First Owner,19.02,1198,67.05,5,55.96828046744574,4076361,0
207,2015,70000,Diesel,Individual,Manual,Fourth & Above Owner,22.54,1396,88.73,5,63.560171919770774,4060225,0
208,2011,122358,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,9,55.07113354749885,4044121,0
209,2017,120000,Diesel,Individual,Manual,First Owner,27.28,1047,69.0,5,65.9025787965616,4068289,0
210,2015,40000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5,74.35037720033529,4060225,0
211,2014,33033,Petrol,Dealer,Manual,First Owner,19.4,1198,86.8,5,72.45409015025041,4056196,0
212,2015,63063,Petrol,Dealer,Automatic,First Owner,18.9,1197,82.0,5,68.50459482038428,4060225,0
213,2012,60000,Diesel,Individual,Manual,First Owner,21.02,1248,88.76,5,71.12179487179488,4048144,0
214,2005,45000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,58.16582914572864,4020025,0
215,2016,35000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8,42.96482412060302,4064256,0
216,2017,35000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5,68.50459482038428,4068289,0
217,2013,50000,Petrol,Individual,Automatic,First Owner,16.95,1197,78.9,5,65.91478696741855,4052169,0
218,2011,20000,Petrol,Individual,Automatic,First Owner,16.95,1197,78.9,5,65.91478696741855,4044121,0
219,2012,50000,Petrol,Individual,Manual,Second Owner,18.6,1197,85.8,5,71.67919799498746,4048144,0
220,2014,120000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,24.61355529131986,4056196,0
221,2014,70000,Petrol,Individual,Manual,First Owner,17.1,1591,121.3,5,76.24135763670648,4056196,0
222,2015,50000,Petrol,Individual,Manual,First Owner,17.19,1197,81.86,5,68.38763575605681,4060225,0
223,2019,16500,Petrol,Individual,Manual,First Owner,21.01,1197,81.8,5,68.3375104427736,4076361,0
224,2010,70000,Petrol,Individual,Manual,First Owner,17.0,1197,80.0,5,66.83375104427736,4040100,0
225,2005,99361,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,58.16582914572864,4020025,0
226,2014,70000,Petrol,Individual,Manual,Second Owner,19.1,1197,85.8,5,71.67919799498746,4056196,0
227,2015,80000,Diesel,Individual,Manual,Second Owner,24.0,1120,70.0,5,62.5,4060225,0
228,2010,70000,Petrol,Individual,Manual,Second Owner,18.9,1248,74.0,5,59.294871794871796,4040100,0
229,2012,60000,Petrol,Individual,Manual,Third Owner,18.6,1199,79.4,5,66.22185154295246,4048144,0
230,2018,10000,Petrol,Individual,Automatic,First Owner,20.3,1199,84.0,5,70.05838198498748,4072324,0
231,2006,80000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4,46.482412060301506,4024036,0
232,2017,30000,Diesel,Individual,Manual,First Owner,25.6,1498,97.9,5,65.35380507343125,4068289,0
233,2017,33000,Diesel,Individual,Manual,First Owner,25.6,1498,97.9,5,65.35380507343125,4068289,0
234,2013,90000,Petrol,Individual,Manual,Third Owner,16.02,1373,93.7,7,68.24471959213402,4052169,0
235,2014,80100,Diesel,Individual,Manual,Second Owner,19.01,1461,108.5,5,74.26420260095824,4056196,0
236,2014,120000,Petrol,Individual,Manual,First Owner,17.4,1497,117.3,5,78.3567134268537,4056196,0
237,1983,10000,Diesel,Individual,Manual,Third Owner,18.9,1248,74.0,5,59.294871794871796,3932289,0
238,2016,40000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,66.70838548185232,4064256,0
239,2013,160000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.6,8,40.336808340016034,4052169,0
240,2017,47000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,67.17434869739479,4068289,0
241,2018,25000,Diesel,Individual,Manual,First Owner,21.38,1396,88.7,5,63.53868194842408,4072324,0
242,2017,26000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5,70.05838198498748,4068289,0
243,2018,29000,Diesel,Individual,Manual,First Owner,24.0,1186,73.97,5,62.36930860033726,4072324,0
244,2016,50000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,5,69.42355889724311,4064256,0
245,2011,58000,Petrol,Individual,Manual,Third Owner,16.1,1298,88.2,5,67.9506933744222,4044121,0
246,2012,120000,Petrol,Individual,Automatic,First Owner,17.4,1197,85.8,5,71.67919799498746,4048144,0
247,2003,60000,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993,60.0,5,60.422960725075534,4012009,0
248,2017,36000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,5,67.17434869739479,4068289,0
249,2007,120000,Diesel,Individual,Manual,Third Owner,12.8,2494,102.0,8,40.8981555733761,4028049,0
250,2011,185000,Diesel,Individual,Manual,Third Owner,21.1,1248,73.9,5,59.21474358974359,4044121,0
251,2011,50000,Diesel,Individual,Manual,First Owner,23.08,1461,63.1,5,43.189596167008894,4044121,0
252,2002,100000,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993,60.0,5,60.422960725075534,4008004,0
253,2013,50000,Petrol,Individual,Manual,Second Owner,17.1,1591,121.3,5,76.24135763670648,4052169,0
254,2007,80000,Petrol,Individual,Manual,Second Owner,18.2,998,67.1,5,67.23446893787575,4028049,0
255,2005,60000,Petrol,Individual,Manual,Second Owner,18.9,1248,74.0,5,59.294871794871796,4020025,0
256,2005,80000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5,58.16582914572864,4020025,0
257,2010,162000,Petrol,Individual,Manual,Second Owner,19.0,998,66.1,5,66.2324649298597,4040100,0
258,2013,110000,Diesel,Individual,Manual,Third Owner,20.77,1248,88.76,7,71.12179487179488,4052169,0
